"ID";"DataNascimento";"Sexo";"TempodeServiço";"EstadoCivil";"NumerodeFilhos";"TempodeResidencia";"Conta";"salario";"data_atual";"faixa_salario";"default";"default1";"QtdaParcelas";"Atraso";"ValorEmprestimo";"QtdaPagas";"comprometido_de_renda"
"1";"1952/02/03 00:00:00";"Masculino";"98";"3";"0";"7";"Particular";"5700,0";"2021-11-14";"C";"Adimplente";"0";"19";"Sim";"665";"6";"0,1166666666666667"
"2";"1958/05/23 00:00:00";"Masculino";"98";"3";"0";"43";"Particular";"4020,0";"2021-11-14";"B";"Adimplente";"0";"33";"Não";"950";"11";"0,2363184079601990"
"3";"1929/07/26 00:00:00";"Feminino";"98";"1";"0";"7";"empresa";"2145,0";"2021-11-14";"A";"Adimplente";"0";"20";"Não";"700";"6";"0,3263403263403263"
"4";"1947/04/15 00:00:00";"Feminino";"98";"1";"0";"13";"empresa";"2190,0";"2021-11-14";"A";"Adimplente";"0";"21";"Sim";"735";"7";"0,3356164383561644"
"5";"1955/02/09 00:00:00";"Masculino";"98";"2";"3";"8";"Particular";"4500,0";"2021-11-14";"B";"Adimplente";"0";"18";"Sim";"630";"6";"0,1400000000000000"
"6";"1958/08/22 00:00:00";"Masculino";"98";"2";"0";"26";"Particular";"3210,0";"2021-11-14";"B";"Adimplente";"0";"21";"Não";"735";"7";"0,2289719626168224"
"7";"1956/04/26 00:00:00";"Masculino";"98";"3";"0";"40";"Particular";"3600,0";"2021-11-14";"B";"Adimplente";"0";"22";"Não";"770";"7";"0,2138888888888889"
"8";"1966/05/06 00:00:00";"Feminino";"98";"3";"0";"15";"empresa";"2190,0";"2021-11-14";"A";"Adimplente";"0";"17";"Não";"595";"5";"0,2716894977168950"
"9";"1946/01/23 00:00:00";"Feminino";"98";"2";"6";"34";"empresa";"2790,0";"2021-11-14";"A";"Adimplente";"0";"29";"Não";"1015";"10";"0,3637992831541219"
"10";"1946/02/13 00:00:00";"Feminino";"98";"1";"0";"0";"empresa";"2400,0";"2021-11-14";"A";"Adimplente";"0";"26";"Não";"910";"9";"0,3791666666666667"
"11";"1950/02/07 00:00:00";"Feminino";"98";"3";"0";"6";"empresa";"3030,0";"2021-11-14";"B";"Adimplente";"0";"19";"Não";"665";"6";"0,2194719471947195"
"12";"1966/01/11 00:00:00";"Masculino";"98";"3";"0";"7";"Particular";"2835,0";"2021-11-14";"A";"Adimplente";"0";"19";"Não";"665";"6";"0,2345679012345679"
"13";"1960/07/17 00:00:00";"Masculino";"98";"1";"0";"6";"Particular";"2775,0";"2021-11-14";"A";"Adimplente";"0";"22";"Não";"770";"7";"0,2774774774774775"
"14";"1949/02/26 00:00:00";"Feminino";"98";"1";"0";"18";"empresa";"3510,0";"2021-11-14";"B";"Adimplente";"0";"30";"Sim";"1050";"10";"0,2991452991452991"
